Entity,Code,Day,facial_coverings
Japan,JPN,1/11/2021,1
Japan,JPN,1/12/2021,1
Japan,JPN,1/13/2021,1
Japan,JPN,1/14/2021,1
Japan,JPN,1/15/2021,1
Japan,JPN,1/16/2021,1
Japan,JPN,1/17/2021,1
Japan,JPN,1/18/2021,1
Japan,JPN,1/19/2021,1
Japan,JPN,1/20/2021,1
Japan,JPN,1/21/2021,1
Japan,JPN,1/22/2021,1
Japan,JPN,1/23/2021,1
Japan,JPN,1/24/2021,1
Japan,JPN,1/25/2021,1
Japan,JPN,1/26/2021,1
Japan,JPN,1/27/2021,1
Japan,JPN,1/28/2021,1
Japan,JPN,1/29/2021,1
Japan,JPN,1/30/2021,1
Japan,JPN,1/31/2021,1
Japan,JPN,2/1/2021,1
Japan,JPN,2/2/2021,1
Japan,JPN,2/3/2021,1
Japan,JPN,2/4/2021,1
Japan,JPN,2/5/2021,1
Japan,JPN,2/6/2021,1
Japan,JPN,2/7/2021,1
Japan,JPN,2/8/2021,1
Japan,JPN,2/9/2021,1
Japan,JPN,2/10/2021,1
Japan,JPN,2/11/2021,1
Japan,JPN,2/12/2021,1
Japan,JPN,2/13/2021,1
Japan,JPN,2/14/2021,1
Japan,JPN,2/15/2021,1
Japan,JPN,2/16/2021,1
Japan,JPN,2/17/2021,1
Japan,JPN,2/18/2021,1
Japan,JPN,2/19/2021,1
Japan,JPN,2/20/2021,1
Japan,JPN,2/21/2021,1
Japan,JPN,2/22/2021,1
Japan,JPN,2/23/2021,1
Japan,JPN,2/24/2021,1
Japan,JPN,2/25/2021,1
Japan,JPN,2/26/2021,1
Japan,JPN,2/27/2021,1
Japan,JPN,2/28/2021,1
Japan,JPN,3/1/2021,1
Japan,JPN,3/2/2021,1
Japan,JPN,3/3/2021,1
Japan,JPN,3/4/2021,1
Japan,JPN,3/5/2021,1
Japan,JPN,3/6/2021,1
Japan,JPN,3/7/2021,1
Japan,JPN,3/8/2021,1
Japan,JPN,3/9/2021,1
Japan,JPN,3/10/2021,1
Japan,JPN,3/11/2021,1
Japan,JPN,3/12/2021,1
Japan,JPN,3/13/2021,1
Japan,JPN,3/14/2021,1
Japan,JPN,3/15/2021,1
Japan,JPN,3/16/2021,1
Japan,JPN,3/17/2021,1
Japan,JPN,3/18/2021,1
Japan,JPN,3/19/2021,1
Japan,JPN,3/20/2021,1
Japan,JPN,3/21/2021,1
Japan,JPN,3/22/2021,1
Japan,JPN,3/23/2021,1
Japan,JPN,3/24/2021,1
Japan,JPN,3/25/2021,1
Japan,JPN,3/26/2021,1
Japan,JPN,3/27/2021,1
Japan,JPN,3/28/2021,1
Japan,JPN,3/29/2021,1
Japan,JPN,3/30/2021,1
Japan,JPN,3/31/2021,1
Japan,JPN,4/1/2021,1
Japan,JPN,4/2/2021,1
Japan,JPN,4/3/2021,1
Japan,JPN,4/4/2021,1
Japan,JPN,4/5/2021,1
Japan,JPN,4/6/2021,1
Japan,JPN,4/7/2021,1
Japan,JPN,4/8/2021,1
Japan,JPN,4/9/2021,1
Japan,JPN,4/10/2021,1
Japan,JPN,4/11/2021,1
Japan,JPN,4/12/2021,1
Japan,JPN,4/13/2021,1
Japan,JPN,4/14/2021,1
Japan,JPN,4/15/2021,1
Japan,JPN,4/16/2021,1
Japan,JPN,4/17/2021,1
Japan,JPN,4/18/2021,1
Japan,JPN,4/19/2021,1
Japan,JPN,4/20/2021,1
Japan,JPN,4/21/2021,1
Japan,JPN,4/22/2021,1
Japan,JPN,4/23/2021,1
Japan,JPN,4/24/2021,1
Japan,JPN,4/25/2021,1
Japan,JPN,4/26/2021,1
Japan,JPN,4/27/2021,1
Japan,JPN,4/28/2021,1
Japan,JPN,4/29/2021,1
Japan,JPN,4/30/2021,1
Japan,JPN,5/1/2021,1
Japan,JPN,5/2/2021,1
Japan,JPN,5/3/2021,1
Japan,JPN,5/4/2021,1
Japan,JPN,5/5/2021,1
Japan,JPN,5/6/2021,1
Japan,JPN,5/7/2021,1
Japan,JPN,5/8/2021,1
Japan,JPN,5/9/2021,1
Japan,JPN,5/10/2021,1
Japan,JPN,5/11/2021,1
Japan,JPN,5/12/2021,1
Japan,JPN,5/13/2021,1
Japan,JPN,5/14/2021,1
Japan,JPN,5/15/2021,1
Japan,JPN,5/16/2021,1
Japan,JPN,5/17/2021,1
Japan,JPN,5/18/2021,1
Japan,JPN,5/19/2021,1
Japan,JPN,5/20/2021,1
Japan,JPN,5/21/2021,1
Japan,JPN,5/22/2021,1
Japan,JPN,5/23/2021,1
Japan,JPN,5/24/2021,1
Japan,JPN,5/25/2021,1
Japan,JPN,5/26/2021,1
Japan,JPN,5/27/2021,1
Japan,JPN,5/28/2021,1
Japan,JPN,5/29/2021,1
Japan,JPN,5/30/2021,1
Japan,JPN,5/31/2021,1
Japan,JPN,6/1/2021,1
Japan,JPN,6/2/2021,1
Japan,JPN,6/3/2021,1
Japan,JPN,6/4/2021,1
Japan,JPN,6/5/2021,1
Japan,JPN,6/6/2021,1
Japan,JPN,6/7/2021,1
Japan,JPN,6/8/2021,1
Japan,JPN,6/9/2021,1
Japan,JPN,6/10/2021,1
Japan,JPN,6/11/2021,1
Japan,JPN,6/12/2021,1
Japan,JPN,6/13/2021,1
Japan,JPN,6/14/2021,1
Japan,JPN,6/15/2021,1
Japan,JPN,6/16/2021,1
Japan,JPN,6/17/2021,1
Japan,JPN,6/18/2021,1
Japan,JPN,6/19/2021,1
Japan,JPN,6/20/2021,1
Japan,JPN,6/21/2021,1
Japan,JPN,6/22/2021,1
Japan,JPN,6/23/2021,1
Japan,JPN,6/24/2021,1
Japan,JPN,6/25/2021,1
Japan,JPN,6/26/2021,1
Japan,JPN,6/27/2021,1
Japan,JPN,6/28/2021,1
Japan,JPN,6/29/2021,1
Japan,JPN,6/30/2021,1
Japan,JPN,7/1/2021,1
Japan,JPN,7/2/2021,1
Japan,JPN,7/3/2021,1
Japan,JPN,7/4/2021,1
Japan,JPN,7/5/2021,1
Japan,JPN,7/6/2021,1
Japan,JPN,7/7/2021,1
Japan,JPN,7/8/2021,1
Japan,JPN,7/9/2021,1
Japan,JPN,7/10/2021,1
Japan,JPN,7/11/2021,1
Japan,JPN,7/12/2021,1
Japan,JPN,7/13/2021,1
Japan,JPN,7/14/2021,1
Japan,JPN,7/15/2021,1
Japan,JPN,7/16/2021,1
Japan,JPN,7/17/2021,1
Japan,JPN,7/18/2021,1
Japan,JPN,7/19/2021,1
Japan,JPN,7/20/2021,1
Japan,JPN,7/21/2021,1
Japan,JPN,7/22/2021,1
Japan,JPN,7/23/2021,1
Japan,JPN,7/24/2021,1
Japan,JPN,7/25/2021,1
Japan,JPN,7/26/2021,1
Japan,JPN,7/27/2021,1
